frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
0,0.005804988662131519,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.820099999998547,0.35379999999918255,0
1,0.011609977324263039,0,4096,0,0.2280827657955032,-96.04878903049143,,,,,,,,,0.7120000000000459,2.354499999999149,0
2,0.017414965986394557,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.8222999999993874,3.11579999999978,0
3,0.023219954648526078,0,4096,0,0.0,-97.92982462984386,,,,,,,,,2.3586000000008767,1.1459000000009212,0
4,0.029024943310657598,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.9008999999977618,3.532199999998653,0
5,0.034829931972789115,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.8225000000017246,4.50429999999713,0
6,0.040634920634920635,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.1603999999998393,0.28119999999987044,0
7,0.046439909297052155,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.8151000000005126,1.4532000000002654,0
8,0.052244897959183675,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.7787000000014643,2.332800000001356,0
9,0.058049886621315196,0,4096,0,0.0,-96.66269167130112,,,,,,,,,1.0802999999981466,1.3953000000022087,0
10,0.06385487528344672,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.363100000002504,2.497799999996886,0
11,0.06965986394557823,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.8277999999997121,3.949600000002107,0
12,0.07546485260770976,0,4096,0,0.0,-96.81175663155918,,,,,,,,,1.8482000000012988,0.43959999999998445,0
13,0.08126984126984127,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.8982999999993524,2.296000000001186,0
14,0.08707482993197278,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0.7842999999994049,3.2418999999990206,0
15,0.09287981859410431,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.3652999999997917,3.429499999999308,0
16,0.09868480725623582,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.9195999999995763,4.832300000000345,0
17,0.10448979591836735,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.8246999999990123,5.828600000000961,0
18,0.11029478458049886,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.2763000000006741,0.43219999999877246,0
19,0.11609977324263039,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.8800999999998282,1.7190999999989742,0
20,0.1219047619047619,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.7772999999993147,2.6353999999990663,0
21,0.12770975056689343,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.128700000002425,0.3339999999987242,0
22,0.13351473922902493,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.8531000000004951,1.5059999999991192,0
23,0.13931972789115646,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.7920999999981859,2.417999999998699,0
24,0.14512471655328799,0,4096,0,0.0,-96.17790898892383,,,,,,,,,1.074799999997822,0.2768999999993582,0
25,0.1509297052154195,0,4096,0,0.0,-96.66269167130112,,,,,,,,,2.0647999999994227,1.3569999999987203,0
26,0.156734693877551,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.4803000000007671,3.5063000000015165,0
27,0.16253968253968254,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.2889000000022577,0.4367999999992378,0
28,0.16834467120181407,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.8176000000013062,1.702900000001506,0
29,0.17414965986394557,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.8043999999998164,2.5475000000021453,0
30,0.1799546485260771,0,4096,0,0.0,-97.46514278371254,,,,,,,,,2.2748999999997466,0.3112999999999033,0
31,0.18575963718820862,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0.9629999999987149,2.652999999998684,0
32,0.19156462585034015,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.8295999999994308,3.657499999999203,0
33,0.19736961451247165,0,4096,0,0.0,-96.04878903049143,,,,,,,,,2.7967999999987114,2.3815999999996507,0
34,0.20317460317460317,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.8480000000012922,5.228799999997591,0
35,0.2089795918367347,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.8065000000030409,6.153300000001138,0
36,0.2147845804988662,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.7914999999995018,0.6021999999994421,0
