frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,inference_skipped,loop_ms,queue_delay_ms,queue_depth
0,0.005804988662131519,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,0.7704999999997852,1.1908999999992176,2
1,0.011609977324263039,0,4096,0,0.2280827657955032,-96.04878903049143,,,,,,,,,0,0.9025999999998646,2.6298000000011257,1
2,0.017414965986394557,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.9171999999999514,3.60970000000016,0
3,0.023219954648526078,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,1.191599999998516,1.7262999999996254,2
4,0.029024943310657598,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.8225999999993405,2.451000000000647,1
5,0.034829931972789115,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,0.7187999999995753,3.1490999999999048,0
6,0.040634920634920635,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.2718999999989933,1.5905000000007163,2
7,0.046439909297052155,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,0.9299000000009272,2.5173999999985597,1
8,0.052244897959183675,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,0.785600000000386,3.337499999998883,0
9,0.058049886621315196,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,1.841900000000507,2.0150000000001,1
10,0.06385487528344672,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.4716999999991884,3.8949000000005896,1
11,0.06965986394557823,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,0.8990999999998195,3.34840000000014,0
12,0.07546485260770976,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,1.244599999999707,1.5534999999999854,2
13,0.08126984126984127,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.861099999999837,2.4125000000001506,1
14,0.08707482993197278,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,0.913600000000514,3.359299999999621,0
15,0.09287981859410431,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.7282000000005127,2.17010000000073,2
16,0.09868480725623582,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,0.9138999999986908,2.9967000000006294,1
17,0.10448979591836735,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,0.7815999999998269,3.4431000000001433,0
18,0.11029478458049886,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.3500999999997987,1.5189000000006558,2
19,0.11609977324263039,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,0.5620000000003955,1.5213000000002808,1
20,0.1219047619047619,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.7865000000002453,2.2973000000003907,0
21,0.12770975056689343,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,1.1516000000000304,1.5087999999998658,2
22,0.13351473922902493,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.8878999999986092,2.376899999999793,1
23,0.13931972789115646,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,0.7944999999995872,3.2040000000002067,0
24,0.14512471655328799,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,2.258400000000549,2.7535000000007415,2
25,0.1509297052154195,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,1.1144999999999072,3.9379000000003828,1
26,0.156734693877551,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.605099999999581,4.600699999999236,0
27,0.16253968253968254,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.4497000000002203,1.6348999999991065,2
28,0.16834467120181407,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,0.9731000000012813,2.3420000000005103,1
29,0.17414965986394557,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.8221999999999952,3.191399999998623,0
30,0.1799546485260771,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,0.9694000000006753,1.2761999999995055,2
31,0.18575963718820862,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.1154999999991588,2.3596999999995205,1
32,0.19156462585034015,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,0.7225999999995736,3.123600000000337,0
33,0.19736961451247165,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.5903999999995477,1.742400000001254,2
34,0.20317460317460317,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.9584000000000259,2.203099999999125,1
35,0.2089795918367347,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,0.7535000000000736,2.9909000000003516,0
36,0.2147845804988662,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.3342999999998995,1.5052000000004284,2
37,0.22058956916099773,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,0.6254999999999455,1.6401999999988703,1
38,0.22639455782312926,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.536500000000828,2.150699999999617,0
39,0.23219954648526078,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,1.7110999999996324,1.875000000000071,2
40,0.23800453514739228,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,4.368499999999997,5.79549999999962,1
41,0.2438095238095238,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,1.4833999999996905,7.331100000000035,0
42,0.24961451247165534,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,4.4941000000005005,8.217399999999486,2
43,0.25541950113378686,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,16.599100000000533,25.039800000000056,4
44,0.2612244897959184,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,0.925099999999901,26.0656000000008,3
45,0.26702947845804986,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.7643000000001621,17.13029999999982,2
46,0.2728344671201814,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,0.8300999999999448,17.98870000000008,1
47,0.2786394557823129,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,0.9063000000004706,18.942100000000295,0
48,0.28444444444444444,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,1.8482000000012988,9.237999999999857,2
49,0.29024943310657597,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,0.9867000000003401,10.26859999999985,1
50,0.2960544217687075,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.409600000000566,11.753900000000428,0
51,0.301859410430839,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,1.607200000000475,1.7899999999997362,2
52,0.3076643990929705,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.9662999999999755,2.2223999999990696,1
53,0.313469387755102,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,1.3855999999989876,3.625100000000714,0
54,0.31927437641723355,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.3306000000010698,1.9977000000004352,2
55,0.3250793650793651,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,0.9522000000004027,2.9360000000000497,1
56,0.3308843537414966,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,0.7871999999995438,3.5322000000004294,0
57,0.33668934240362813,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,1.1770000000002057,1.5078000000006142,2
