frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms
0,0.005804988662131519,0,4096,0,0.0,-97.29235200308943,,,,,,,,,1.1479999999970403
1,0.011609977324263039,0,4096,0,0.2280827657955032,-96.04878903049143,,,,,,,,,1.5250000000008868
2,0.017414965986394557,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.1459000000009212
3,0.023219954648526078,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.299900000002907
4,0.029024943310657598,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.8924000000014587
5,0.034829931972789115,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.8019000000025756
6,0.040634920634920635,0,4096,0,0.0,-96.51857380658345,,,,,,,,,2.392200000002731
7,0.046439909297052155,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.8672999999994602
8,0.052244897959183675,0,4096,0,0.0,-96.17790898892383,,,,,,,,,1.0323999999997113
9,0.058049886621315196,0,4096,0,0.0,-96.66269167130112,,,,,,,,,2.0279999999992526
10,0.06385487528344672,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.4830000000003452
11,0.06965986394557823,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.2495000000001255
12,0.07546485260770976,0,4096,0,0.0,-96.81175663155918,,,,,,,,,1.2167999999981305
13,0.08126984126984127,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.7465999999993755
14,0.08707482993197278,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0.7379999999983511
15,0.09287981859410431,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.312800000000891
16,0.09868480725623582,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.9914000000001977
17,0.10448979591836735,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.8172999999978003
18,0.11029478458049886,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.2812000000010926
19,0.11609977324263039,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.0218000000001837
20,0.1219047619047619,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.8398000000013894
21,0.12770975056689343,0,4096,0,0.0,-96.59003495889704,,,,,,,,,2.0917999999987558
22,0.13351473922902493,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.106199999998836
23,0.13931972789115646,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.920000000000698
24,0.14512471655328799,0,4096,0,0.0,-96.17790898892383,,,,,,,,,4.863399999997853
25,0.1509297052154195,0,4096,0,0.0,-96.66269167130112,,,,,,,,,13.382100000001174
26,0.156734693877551,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.1155000000009352
27,0.16253968253968254,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.5770000000010498
28,0.16834467120181407,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.9757000000014671
29,0.17414965986394557,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.0225000000012585
30,0.1799546485260771,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.5423000000005516
31,0.18575963718820862,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.489499999998145
32,0.19156462585034015,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.9304000000014412
33,0.19736961451247165,0,4096,0,0.0,-96.04878903049143,,,,,,,,,2.142299999999153
34,0.20317460317460317,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.875799999999316
35,0.2089795918367347,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.8672999999994602
36,0.2147845804988662,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.7209999999998615
37,0.22058956916099773,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.8315000000003181
38,0.22639455782312926,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.7814000000010424
39,0.23219954648526078,0,4096,0,0.0,-96.243937670594,,,,,,,,,1.1460999999997057
40,0.23800453514739228,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.9548999999999808
41,0.2438095238095238,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0.8617999999991355
42,0.24961451247165534,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.58039999999815
43,0.25541950113378686,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.9375000000027001
44,0.2612244897959184,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.8738000000008128
45,0.26702947845804986,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.24320000000111
46,0.2728344671201814,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0.8797999999998751
47,0.2786394557823129,0,4096,0,0.0,-97.04540980062914,,,,,,,,,6.140899999998339
48,0.28444444444444444,0,4096,0,0.0,-97.29235200308943,,,,,,,,,1.898499999999359
49,0.29024943310657597,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.7063000000021589
50,0.2960544217687075,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.7654000000023586
51,0.301859410430839,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.387499999999875
52,0.3076643990929705,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.8279000000008807
53,0.313469387755102,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.7903999999996358
54,0.31927437641723355,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.6202000000014039
55,0.3250793650793651,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.9856999999975358
56,0.3308843537414966,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.8389000000015301
57,0.33668934240362813,0,4096,0,0.0,-96.66269167130112,,,,,,,,,2.0783999999984815
58,0.34249433106575966,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.5281999999992024
59,0.34829931972789113,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.7719000000001586
