frame,time_s,active_notes,events,audio_active,rms_dbfs,rms_threshold,rms_growth,spectral_flux,onset_detector_score,top_frame,top_onset,inference_ms,pipeline_ms,queue_depth
0,0.9984580498866213,,,1,-68.65395008186742,0.00032974596126285626,1.085398325609483e-06,0.009124350846146774,5.571622373843725,52:0.18528 45:0.18230 47:0.14509 40:0.12716 59:0.08923 50:0.08676,59:0.00996 52:0.00898 57:0.00824 50:0.00750 40:0.00688 45:0.00553,4.705600000001198,6.566600000001088,2
1,1.0042630385487528,,,0,-67.8382584567168,0.0011027901840707512,3.635515978953242e-05,0.007757558689655851,0.0,52:0.18649 45:0.17645 47:0.14570 40:0.12632 59:0.08828 50:0.08520,59:0.00922 52:0.00793 57:0.00729 50:0.00646 40:0.00599 64:0.00468,4.863699999999582,13.747200000000959,1
2,1.0100680272108844,,,0,-69.21043612704668,0.001842886060787405,0.0,0.01006502293840292,0.0,52:0.19822 45:0.18598 47:0.14944 40:0.13220 59:0.09109 50:0.08970,59:0.00971 52:0.00882 57:0.00800 50:0.00697 40:0.00636 45:0.00510,3.7141999999992237,18.470300000000606,3
3,1.0158730158730158,,,0,-70.12868154516886,0.0017215308427421718,0.0,0.008549342094142539,0.0,52:0.19727 45:0.18434 47:0.14627 40:0.13021 50:0.09146 59:0.08928,59:0.00944 52:0.00887 57:0.00792 50:0.00713 40:0.00638 45:0.00515,4.975199999998736,14.621200000000556,2
4,1.0216780045351475,,,0,-69.14532461385744,0.0016001756246969384,3.734897029458533e-05,0.0053884472414403185,0.0,52:0.19963 45:0.19004 47:0.14137 40:0.12978 57:0.09234 50:0.09097,59:0.00959 52:0.00926 57:0.00843 50:0.00740 40:0.00663 45:0.00549,5.069699999999955,21.914900000000515,1
5,1.0274829931972789,,,0,-68.89091661498539,0.0014793051607401271,1.0371126897782822e-05,0.008506972601931827,0.0,45:0.18725 52:0.18617 47:0.13268 40:0.12118 57:0.09048 50:0.08460,59:0.00897 52:0.00850 57:0.00801 50:0.00677 40:0.00622 45:0.00512,4.278499999999852,27.606199999999248,3
6,1.0332879818594105,,,0,-69.53442893459685,0.0013584346967833163,0.0,0.006942793806021328,0.0,45:0.19540 52:0.18554 47:0.13126 40:0.11962 57:0.09619 50:0.08850,59:0.00886 52:0.00844 57:0.00814 50:0.00685 40:0.00609 45:0.00523,4.573199999999389,14.975100000000907,2
7,1.039092970521542,,,0,-69.17762760711925,0.0013016436875146246,1.3990758995965273e-05,0.006431073312129731,0.0,45:0.19216 52:0.17252 47:0.12211 40:0.11178 57:0.09562 50:0.08574,59:0.00842 57:0.00800 52:0.00798 50:0.00668 40:0.00582 45:0.00512,3.2163000000000608,19.05569999999912,1
8,1.0448979591836736,,,0,-67.32923402997265,0.0012448526782459334,8.24380602537698e-05,0.009879188882283651,0.0,45:0.18442 52:0.15683 47:0.11989 40:0.10540 57:0.09586 50:0.08616,59:0.00815 57:0.00780 52:0.00715 50:0.00642 40:0.00537 45:0.00481,3.978500000000551,25.15070000000108,3
9,1.050702947845805,,,0,-69.70419306709846,0.0012319083286224178,0.0,0.010006518923794111,0.0,45:0.18085 52:0.14996 47:0.11590 40:0.10136 57:0.09373 50:0.08570,59:0.00825 57:0.00794 52:0.00711 50:0.00655 40:0.00533 45:0.00489,3.5533999999994847,10.212599999999128,2
10,1.0565079365079366,,,0,-69.31320719919648,0.0012189639789989023,1.5064281141032672e-05,0.006731033009284413,0.0,45:0.17329 52:0.14140 47:0.11050 40:0.09550 57:0.09155 50:0.07896,57:0.00847 59:0.00847 52:0.00749 50:0.00685 40:0.00565 45:0.00517,3.037700000000143,14.196500000000611,1
11,1.062312925170068,,,0,-68.07784609644939,0.001212504805121084,5.2308138491554746e-05,0.010974531421382728,0.0,45:0.18316 52:0.14558 47:0.10731 57:0.09867 40:0.09692 50:0.07637,57:0.00850 59:0.00831 52:0.00713 50:0.00615 40:0.00534 45:0.00498,3.1922000000008666,18.248600000001503,0
