event_id,start_s,end_s,duration_ms,pitch_midi,annotation_support_ratio,spectral_support_ratio,classification
0,0.6965986394557823,0.8707482993197279,174.1496598639456,66,0.9333333333333333,1.0,supported
1,0.9578231292517007,1.2190476190476192,261.2244897959185,64,1.0,1.0,supported
2,1.2190476190476192,1.2364625850340136,17.41496598639447,63,0.0,0.81517942988205,unsupported
3,1.2364625850340136,1.4106122448979592,174.1496598639456,62,1.0,1.0,supported
4,1.5673469387755101,2.3103854875283445,743.0385487528343,61,1.0,0.91900151848109,supported
5,2.4671201814058956,2.501950113378685,34.82993197278938,59,1.0,0.9367128635299685,supported
6,2.5193650793650795,2.693514739229025,174.1496598639456,59,1.0,1.0,supported
7,2.7457596371882085,2.780589569160998,34.82993197278938,61,1.0,1.0,supported
8,2.7980045351473923,2.995374149659864,197.3696145124717,61,0.7941176470588235,1.0,supported
9,3.0243990929705213,3.0360090702947846,11.609977324263276,61,0.0,1.0,unsupported
10,3.0360090702947846,3.0650340136054424,29.024943310657747,62,0.4,1.0,weak
11,3.0998639455782313,3.186938775510204,87.0748299319728,62,0.0,1.0,unsupported
12,3.4191383219954647,3.465578231292517,46.43990929705222,64,1.0,0.996426310967286,supported
13,3.4771882086167802,4.173786848072562,696.598639455782,64,1.0,1.0,supported
14,4.783310657596372,4.794920634920635,11.609977324262388,48,0.0,0.39062645290879044,unsupported
15,4.887800453514739,5.143219954648526,255.41950113378675,64,1.0,1.0,supported
16,5.265124716553288,5.305759637188209,40.63492063492102,61,1.0,1.0,supported
17,5.328979591836735,5.4392743764172335,110.29478458049891,61,1.0,1.0,supported
18,5.485714285714286,5.526349206349207,40.63492063492102,59,1.0,1.0,supported
19,5.804988662131519,5.84562358276644,40.63492063492102,57,0.0,0.9506511717734922,unsupported
20,5.874648526077097,6.072018140589569,197.36961451247214,57,0.0,1.0,unsupported
21,6.164897959183674,6.205532879818594,40.634920634920135,59,1.0,0.8252960428910546,supported
22,6.426122448979592,6.437732426303855,11.609977324263276,59,0.0,1.0,unsupported
23,6.437732426303855,6.478367346938776,40.63492063492102,61,1.0,0.8277055174381454,supported
24,6.507392290249433,6.6525170068027215,145.12471655328875,61,1.0,1.0,supported
25,6.710566893424036,6.722176870748299,11.609977324263276,61,0.0,1.0,unsupported
26,6.722176870748299,6.751201814058957,29.024943310657747,62,1.0,1.0,supported
27,6.786031746031746,7.215600907029478,429.56916099773235,62,1.0,1.0,supported
28,8.028299319727891,8.190839002267573,162.5396825396823,61,0.7857142857142857,1.0,supported
29,8.231473922902495,8.243083900226758,11.609977324262388,62,1.0,1.0,supported
30,8.295328798185942,8.376598639455782,81.26984126984027,62,1.0,1.0,supported
31,8.434648526077098,8.469478458049887,34.82993197278894,64,1.0,1.0,supported
32,8.51591836734694,8.533333333333333,17.414965986393582,64,1.0,1.0,supported
33,8.713287981859411,8.945487528344671,232.1995464852602,66,0.55,1.0,supported
34,8.945487528344671,9.073197278911564,127.70975056689338,67,0.9545454545454546,1.0,supported
35,9.166077097505669,9.433106575963718,267.02947845804914,66,1.0,1.0,supported
36,9.462131519274376,9.502766439909298,40.63492063492191,65,1.0,0.9251574419992142,supported
37,9.531791383219955,9.723356009070296,191.56462585034006,65,1.0,1.0,supported
38,9.868480725623582,9.909115646258503,40.634920634920135,66,1.0,1.0,supported
39,9.93233560090703,10.135510204081633,203.17460317460421,66,1.0,1.0,supported
40,10.28063492063492,10.570884353741496,290.2494331065757,70,1.0,1.0,supported
41,10.681179138321996,10.727619047619047,46.43990929705133,73,1.0,1.0,supported
42,10.756643990929705,10.84952380952381,92.87981859410444,73,1.0,1.0,supported
43,11.029478458049887,11.075918367346938,46.43990929705133,76,1.0,1.0,supported
44,11.099138321995465,11.569342403628118,470.20408163265336,76,1.0,1.0,supported
45,11.639002267573696,11.685442176870747,46.43990929705133,74,1.0,1.0,supported
46,11.697052154195012,11.847981859410432,150.92970521541992,74,0.4230769230769231,1.0,weak
47,11.929251700680272,11.952471655328798,23.219954648526553,73,0.0,1.0,unsupported
48,11.952471655328798,12.207891156462585,255.41950113378675,74,0.7272727272727273,0.2738218789440637,supported
49,12.207891156462585,12.323990929705216,116.09977324263099,73,1.0,1.0,supported
50,12.364625850340136,12.405260770975056,40.634920634920135,71,1.0,0.792116203154769,supported
51,12.434285714285714,12.561995464852608,127.70975056689338,71,1.0,1.0,supported
52,12.631655328798185,12.788390022675737,156.73469387755114,66,0.7777777777777778,1.0,supported
53,12.788390022675737,12.846439909297052,58.049886621315494,65,0.0,0.7525067603389582,unsupported
54,12.846439909297052,13.014784580498866,168.34467120181353,64,1.0,1.0,supported
55,13.18312925170068,13.206349206349206,23.219954648524777,66,0.0,1.0,unsupported
56,13.525623582766439,13.891337868480726,365.7142857142866,62,0.3492063492063492,1.0,weak
57,13.960997732426303,14.25124716553288,290.2494331065757,61,0.86,0.9975822479492121,supported
58,14.25124716553288,14.396371882086168,145.12471655328875,62,0.0,1.0,unsupported
59,14.44281179138322,14.483446712018141,40.63492063492191,64,1.0,0.7649815746224178,supported
60,14.506666666666666,14.63437641723356,127.70975056689338,64,1.0,1.0,supported
61,14.70984126984127,14.924625850340137,214.7845804988666,64,0.7837837837837838,1.0,supported
62,14.924625850340137,14.959455782312926,34.82993197278894,63,0.0,1.0,unsupported
63,14.959455782312926,15.09297052154195,133.51473922902457,62,0.9565217391304348,1.0,supported
64,15.191655328798186,15.377414965986395,185.75963718820887,62,0.78125,1.0,supported
65,15.377414965986395,15.534149659863946,156.73469387755114,61,1.0,1.0,supported
66,15.586394557823128,15.615419501133786,29.024943310657747,61,1.0,1.0,supported
67,15.62702947845805,15.824399092970522,197.36961451247126,61,1.0,1.0,supported
68,15.824399092970522,15.96952380952381,145.12471655328875,59,0.96,1.0,supported
69,16.004353741496598,16.015963718820863,11.609977324265941,59,1.0,0.9331187039840976,supported
70,16.062403628117913,16.24235827664399,179.95464852607768,59,0.8064516129032258,1.0,supported
71,16.24235827664399,16.27138321995465,29.024943310659523,60,0.0,1.0,unsupported
72,16.27138321995465,16.31201814058957,40.63492063491836,61,0.0,1.0,unsupported
73,16.31201814058957,16.42231292517007,110.2947845804998,62,0.9473684210526315,1.0,supported
74,16.46294784580499,16.747392290249433,284.44444444444275,62,0.7346938775510204,1.0,supported
75,16.747392290249433,16.89251700680272,145.12471655328696,61,0.96,1.0,supported
76,16.938956916099773,17.171156462585035,232.19954648526198,61,0.775,1.0,supported
77,17.171156462585035,17.205986394557822,34.829931972787165,60,0.0,1.0,unsupported
78,17.205986394557822,17.327891156462584,121.90476190476218,59,1.0,1.0,supported
79,17.374331065759637,17.41496598639456,40.63492063492191,59,1.0,1.0,supported
80,17.426575963718822,17.594920634920634,168.34467120181174,59,0.7241379310344828,1.0,supported
81,17.594920634920634,17.635555555555555,40.63492063492191,58,0.0,1.0,unsupported
82,17.635555555555555,17.79229024943311,156.7346938775529,57,1.0,1.0,supported
83,17.84453514739229,17.856145124716555,11.609977324265941,57,1.0,1.0,supported
84,17.896780045351473,18.047709750566895,150.9297052154217,57,1.0,1.0,supported
85,18.047709750566895,18.07092970521542,23.219954648524777,56,0.0,1.0,unsupported
86,19.011337868480727,19.10421768707483,92.87981859410266,57,0.5625,1.0,supported
87,19.10421768707483,19.22031746031746,116.09977324263099,59,1.0,1.0,supported
88,19.289977324263038,19.440907029478456,150.92970521541815,61,0.2692307692307692,1.0,weak
89,19.440907029478456,19.557006802721087,116.09977324263099,62,0.65,1.0,supported
90,19.557006802721087,19.580226757369616,23.21995464852833,63,0.0,1.0,unsupported
91,19.580226757369616,19.67891156462585,98.68480725623385,64,1.0,1.0,supported
92,19.71954648526077,19.742766439909296,23.219954648524777,66,1.0,0.7165768977948074,supported
93,19.765986394557824,19.89950113378685,133.51473922902457,66,0.43478260869565216,1.0,weak
94,19.89950113378685,20.02140589569161,121.90476190476218,67,0.7142857142857143,1.0,supported
95,20.02140589569161,20.154920634920636,133.51473922902457,69,0.9565217391304348,0.4206415119962535,supported
96,20.18394557823129,20.195555555555554,11.609977324262388,72,0.0,0.5474919886898,unsupported
97,20.195555555555554,20.21297052154195,17.414965986397135,71,1.0,1.0,supported
