event_id,start_s,end_s,duration_ms,pitch_midi,annotation_support_ratio,spectral_support_ratio,classification
0,1.0274829931972789,1.062312925170068,34.82993197278916,66,1.0,1.0,supported
1,1.073922902494331,1.4280272108843537,354.1043083900226,66,0.9344262295081968,1.0,supported
2,1.4570521541950114,1.654421768707483,197.3696145124715,61,0.0,1.0,unsupported
3,1.689251700680272,1.9272562358276644,238.0045351473923,66,1.0,1.0,supported
4,2.2871655328798184,3.2914285714285714,1004.263038548753,68,1.0,1.0,supported
5,4.347936507936508,4.527891156462585,179.95464852607768,68,1.0,1.0,supported
6,4.7542857142857144,5.241904761904762,487.6190476190478,68,1.0,1.0,supported
7,5.392834467120181,5.50312925170068,110.29478458049891,66,1.0,1.0,supported
8,5.915283446712018,7.215600907029478,1300.3174603174602,70,1.0,1.0,supported
9,8.417233560090702,8.678458049886622,261.22448979591974,71,1.0,1.0,supported
10,8.759727891156462,8.945487528344671,185.75963718820887,73,1.0,1.0,supported
11,9.049977324263038,9.195102040816327,145.12471655328875,71,1.0,1.0,supported
12,9.235736961451247,9.264761904761905,29.024943310657747,59,0.0,0.019271124551228327,unsupported
13,9.287981859410431,9.47374149659864,185.75963718820887,70,1.0,1.0,supported
14,9.543401360544218,9.55501133786848,11.609977324262388,67,0.0,0.9851884723242976,unsupported
15,9.607256235827665,9.758185941043084,150.92970521541992,68,1.0,1.0,supported
16,9.793015873015873,9.8162358276644,23.219954648526553,67,0.0,0.817758684957062,unsupported
17,9.85687074829932,10.1297052154195,272.8344671201803,68,1.0,1.0,supported
18,10.292244897959185,10.385124716553287,92.87981859410266,71,1.0,1.0,supported
19,10.570884353741496,10.58249433106576,11.609977324264165,66,0.0,1.0,unsupported
20,12.904489795918368,13.020589569160999,116.09977324263099,61,1.0,1.0,supported
21,13.061224489795919,13.096054421768708,34.82993197278894,61,1.0,1.0,supported
22,13.746213151927437,14.007437641723357,261.22448979591974,65,1.0,1.0,supported
23,14.123537414965986,14.361541950113379,238.00453514739317,68,1.0,1.0,supported
24,14.419591836734694,14.675011337868481,255.41950113378675,61,1.0,1.0,supported
25,15.714104308390022,15.748934240362813,34.82993197279072,59,1.0,1.0,supported
26,15.766349206349206,15.957913832199546,191.56462585034006,59,1.0,1.0,supported
27,16.01015873015873,16.08562358276644,75.46485260771263,63,0.9230769230769231,1.0,supported
28,16.12045351473923,16.16108843537415,40.63492063492191,66,1.0,0.25346199388163987,supported
29,16.178503401360544,16.31201814058957,133.51473922902457,66,1.0,1.0,supported
30,16.34684807256236,16.375873015873015,29.02494331065597,66,1.0,1.0,supported
31,16.410702947845806,17.333696145124716,922.9931972789096,66,1.0,1.0,supported
32,17.426575963718822,17.6065306122449,179.95464852607768,61,0.3870967741935484,1.0,weak
33,17.641360544217687,17.716825396825396,75.46485260770908,58,0.0,1.0,unsupported
34,17.76907029478458,17.809705215419502,40.63492063492191,49,0.0,0.10910570054917096,unsupported
35,17.838730158730158,18.355374149659863,516.6439909297047,59,1.0,1.0,supported
36,18.686258503401362,18.703673469387756,17.414965986393582,54,0.0,1.0,unsupported
37,19.37705215419501,19.388662131519276,11.609977324265941,59,0.0,1.0,unsupported
