event_id,start_s,end_s,duration_ms,pitch_midi,annotation_support_ratio,spectral_support_ratio,classification
0,0.6965986394557823,0.7778684807256235,81.26984126984127,66,1.0,1.0,supported
1,0.7778684807256235,0.8591383219954648,81.26984126984127,66,1.0,1.0,supported
2,0.8591383219954648,0.8707482993197279,11.609977324263054,66,0.0,1.0,unsupported
3,0.9578231292517007,1.039092970521542,81.26984126984127,64,1.0,1.0,supported
4,1.039092970521542,1.1203628117913833,81.26984126984138,64,1.0,1.0,supported
5,1.1203628117913833,1.2016326530612245,81.26984126984115,64,1.0,1.0,supported
6,1.2016326530612245,1.2190476190476192,17.41496598639469,64,1.0,1.0,supported
7,1.2190476190476192,1.2364625850340136,17.41496598639447,63,0.0,0.81517942988205,unsupported
8,1.2364625850340136,1.3177324263038548,81.26984126984115,62,1.0,1.0,supported
9,1.3177324263038548,1.4106122448979592,92.87981859410444,62,1.0,1.0,supported
10,1.5673469387755101,1.6486167800453515,81.26984126984138,61,1.0,0.91900151848109,supported
11,1.6486167800453515,1.7298866213151927,81.26984126984115,61,1.0,1.0,supported
12,1.7298866213151927,1.811156462585034,81.26984126984138,61,1.0,1.0,supported
13,1.811156462585034,1.8924263038548752,81.26984126984115,61,1.0,1.0,supported
14,1.8924263038548752,1.9736961451247166,81.26984126984138,61,1.0,1.0,supported
15,1.9736961451247166,2.0549659863945577,81.26984126984115,61,1.0,1.0,supported
16,2.0549659863945577,2.136235827664399,81.26984126984115,61,1.0,1.0,supported
17,2.136235827664399,2.2175056689342405,81.2698412698416,61,1.0,1.0,supported
18,2.2175056689342405,2.3103854875283445,92.879818594104,61,1.0,1.0,supported
19,2.4671201814058956,2.501950113378685,34.82993197278938,59,1.0,0.9367128635299685,supported
20,2.5193650793650795,2.6006349206349206,81.26984126984115,59,1.0,1.0,supported
21,2.6006349206349206,2.693514739229025,92.87981859410444,59,1.0,1.0,supported
22,2.7457596371882085,2.780589569160998,34.82993197278938,61,1.0,1.0,supported
23,2.7980045351473923,2.8792743764172335,81.26984126984115,61,1.0,1.0,supported
24,2.8792743764172335,2.9605442176870747,81.26984126984115,61,0.9285714285714286,1.0,supported
25,2.9605442176870747,2.995374149659864,34.82993197278938,61,0.0,1.0,unsupported
26,3.0243990929705213,3.0360090702947846,11.609977324263276,61,0.0,1.0,unsupported
27,3.0360090702947846,3.0650340136054424,29.024943310657747,62,0.4,1.0,weak
28,3.0998639455782313,3.186938775510204,87.0748299319728,62,0.0,1.0,unsupported
29,3.4191383219954647,3.465578231292517,46.43990929705222,64,1.0,0.996426310967286,supported
30,3.4771882086167802,3.5584580498866214,81.26984126984115,64,1.0,1.0,supported
31,3.5584580498866214,3.6397278911564626,81.26984126984115,64,1.0,1.0,supported
32,3.6397278911564626,3.7209977324263037,81.26984126984115,64,1.0,1.0,supported
33,3.7209977324263037,3.8022675736961453,81.2698412698416,64,1.0,1.0,supported
34,3.8022675736961453,3.8835374149659865,81.26984126984115,64,1.0,1.0,supported
35,3.8835374149659865,3.9648072562358276,81.26984126984115,64,1.0,1.0,supported
36,3.9648072562358276,4.046077097505669,81.26984126984115,64,1.0,1.0,supported
37,4.046077097505669,4.133151927437642,87.07482993197324,64,1.0,1.0,supported
38,4.133151927437642,4.173786848072562,40.634920634920135,64,1.0,1.0,supported
39,4.783310657596372,4.794920634920635,11.609977324262388,48,0.0,0.39062645290879044,unsupported
40,4.887800453514739,4.96907029478458,81.26984126984115,64,1.0,1.0,supported
41,4.96907029478458,5.050340136054421,81.26984126984115,64,1.0,0.8990090784446401,supported
42,5.050340136054421,5.131609977324263,81.26984126984205,64,1.0,0.9952757402040432,supported
43,5.131609977324263,5.143219954648526,11.609977324262388,64,1.0,1.0,supported
44,5.265124716553288,5.305759637188209,40.63492063492102,61,1.0,1.0,supported
45,5.328979591836735,5.410249433106576,81.26984126984115,61,1.0,1.0,supported
46,5.410249433106576,5.4392743764172335,29.024943310657747,61,1.0,1.0,supported
47,5.485714285714286,5.526349206349207,40.63492063492102,59,1.0,1.0,supported
48,5.804988662131519,5.84562358276644,40.63492063492102,57,0.0,0.9506511717734922,unsupported
49,5.874648526077097,5.955918367346939,81.26984126984205,57,0.0,1.0,unsupported
50,5.955918367346939,6.03718820861678,81.26984126984115,57,0.0,1.0,unsupported
51,6.03718820861678,6.072018140589569,34.82993197278894,57,0.0,1.0,unsupported
52,6.164897959183674,6.205532879818594,40.634920634920135,59,1.0,0.8252960428910546,supported
53,6.426122448979592,6.437732426303855,11.609977324263276,59,0.0,1.0,unsupported
54,6.437732426303855,6.478367346938776,40.63492063492102,61,1.0,0.8277055174381454,supported
55,6.507392290249433,6.600272108843537,92.87981859410444,61,1.0,1.0,supported
