frame,time_s,visible_window,detected_onset,target_onset,model_onset_probability,model_onset,target_pitch,predicted_active,predicted_pitch,baseline_pitch,onset_gate_pitch,harmonic_gate_pitch,harmonic_veto
0,0.005804988662131519,4096,0,0,0.4255635142326355,0,-1,1,62,-1,-1,-1,0
1,0.011609977324263039,4096,0,0,0.4104281961917877,0,63,1,63,-1,-1,-1,0
2,0.017414965986394557,4096,0,0,0.37201908230781555,0,63,1,63,63,63,63,0
3,0.023219954648526078,4096,0,1,0.3705067038536072,0,63,1,63,63,63,63,0
4,0.029024943310657598,4096,0,0,0.4053230881690979,0,63,1,63,63,63,63,0
5,0.034829931972789115,4096,0,0,0.34337612986564636,0,63,1,63,63,63,63,0
6,0.040634920634920635,4096,0,0,0.387591689825058,0,63,1,63,63,63,63,0
7,0.046439909297052155,4096,0,0,0.35829994082450867,0,63,1,63,63,63,63,0
8,0.052244897959183675,4096,0,0,0.35480934381484985,0,63,1,63,63,63,63,0
9,0.058049886621315196,4096,0,0,0.39418449997901917,0,63,1,63,63,63,63,0
10,0.06385487528344672,4096,0,0,0.35447871685028076,0,63,1,63,63,63,63,0
11,0.06965986394557823,4096,0,0,0.36889660358428955,0,63,1,63,63,63,63,0
12,0.07546485260770976,4096,0,0,0.35011816024780273,0,63,1,63,63,63,63,0
13,0.08126984126984127,4096,0,0,0.33259400725364685,0,63,1,63,63,63,63,0
14,0.08707482993197278,4096,0,0,0.38955309987068176,0,63,1,63,63,63,63,0
15,0.09287981859410431,4096,0,0,0.36758533120155334,0,63,0,63,63,63,63,0
16,0.09868480725623582,4096,0,0,0.34529006481170654,0,63,0,63,-1,-1,-1,0
17,0.10448979591836735,4096,0,0,0.33873245120048523,0,63,0,63,-1,-1,-1,0
18,0.11029478458049886,4096,0,0,0.3447033762931824,0,63,0,63,-1,-1,-1,0
19,0.11609977324263039,4096,0,0,0.36994466185569763,0,63,0,63,-1,-1,-1,0
20,0.1219047619047619,4096,0,0,0.3521580994129181,0,63,0,63,-1,-1,-1,0
