frame,time_s,visible_window,detected_onset,target_onset,model_onset_probability,model_onset,target_pitch,predicted_active,predicted_pitch,baseline_pitch,onset_gate_pitch,harmonic_gate_pitch,harmonic_veto
0,0.005804988662131519,4096,0,0,0.027713889256119728,0,-1,0,59,-1,-1,-1,0
1,0.011609977324263039,4096,0,0,0.02762739546597004,0,-1,0,59,-1,-1,-1,0
2,0.017414965986394557,4096,0,0,0.02726215310394764,0,-1,0,59,-1,-1,-1,0
3,0.023219954648526078,4096,0,0,0.026976650580763817,0,-1,0,59,-1,-1,-1,0
4,0.029024943310657598,4096,0,0,0.027043920010328293,0,-1,0,59,-1,-1,-1,0
5,0.034829931972789115,4096,0,0,0.02749086543917656,0,-1,0,59,-1,-1,-1,0
6,0.040634920634920635,4096,0,0,0.027629252523183823,0,-1,0,59,-1,-1,-1,0
7,0.046439909297052155,4096,0,0,0.02770315110683441,0,-1,0,59,-1,-1,-1,0
8,0.052244897959183675,4096,0,0,0.02758895419538021,0,-1,0,59,-1,-1,-1,0
9,0.058049886621315196,4096,0,0,0.02759675867855549,0,-1,0,59,-1,-1,-1,0
10,0.06385487528344672,4096,0,0,0.027677007019519806,0,-1,0,59,-1,-1,-1,0
11,0.06965986394557823,4096,0,0,0.027448754757642746,0,-1,0,59,-1,-1,-1,0
12,0.07546485260770976,4096,0,0,0.02740258164703846,0,-1,0,59,-1,-1,-1,0
13,0.08126984126984127,4096,0,0,0.02698342129588127,0,-1,0,59,-1,-1,-1,0
14,0.08707482993197278,4096,0,0,0.027070747688412666,0,-1,0,59,-1,-1,-1,0
15,0.09287981859410431,4096,0,0,0.027541840448975563,0,-1,0,59,-1,-1,-1,0
16,0.09868480725623582,4096,0,0,0.027375226840376854,0,-1,0,59,-1,-1,-1,0
17,0.10448979591836735,4096,0,0,0.02736387774348259,0,-1,0,59,-1,-1,-1,0
18,0.11029478458049886,4096,0,0,0.027310233563184738,0,-1,0,59,-1,-1,-1,0
19,0.11609977324263039,4096,0,0,0.027611952275037766,0,-1,0,59,-1,-1,-1,0
20,0.1219047619047619,4096,0,0,0.027768049389123917,0,-1,0,59,-1,-1,-1,0
21,0.12770975056689343,4096,0,0,0.027380317449569702,0,-1,0,59,-1,-1,-1,0
22,0.13351473922902493,4096,0,0,0.02755591832101345,0,-1,0,59,-1,-1,-1,0
23,0.13931972789115646,4096,0,0,0.02834041602909565,0,-1,0,59,-1,-1,-1,0
