frame,time_s,visible_window,detected_onset,target_onset,model_onset_probability,model_onset,target_pitch,predicted_active,predicted_pitch,baseline_pitch,onset_gate_pitch,harmonic_gate_pitch,harmonic_veto
0,0.005804988662131519,4096,0,0,0.027445415034890175,0,-1,0,59,-1,-1,-1,0
1,0.011609977324263039,4096,0,0,0.027500299736857414,0,-1,0,59,-1,-1,-1,0
2,0.017414965986394557,4096,0,0,0.027432305738329887,0,-1,0,59,-1,-1,-1,0
3,0.023219954648526078,4096,0,0,0.02744985744357109,0,-1,0,59,-1,-1,-1,0
4,0.029024943310657598,4096,0,0,0.02763337828218937,0,-1,0,59,-1,-1,-1,0
5,0.034829931972789115,4096,0,0,0.028132982552051544,0,-1,0,59,-1,-1,-1,0
6,0.040634920634920635,4096,0,0,0.02834942564368248,0,-1,0,59,-1,-1,-1,0
7,0.046439909297052155,4096,0,0,0.027661720290780067,0,-1,0,59,-1,-1,-1,0
8,0.052244897959183675,4096,0,0,0.02761184796690941,0,-1,0,59,-1,-1,-1,0
9,0.058049886621315196,4096,0,0,0.027375448495149612,0,-1,0,59,-1,-1,-1,0
10,0.06385487528344672,4096,0,0,0.027542997151613235,0,-1,0,59,-1,-1,-1,0
11,0.06965986394557823,4096,0,0,0.02721010521054268,0,-1,0,59,-1,-1,-1,0
12,0.07546485260770976,4096,0,0,0.026960022747516632,0,-1,0,59,-1,-1,-1,0
13,0.08126984126984127,4096,0,0,0.02716943249106407,0,-1,0,59,-1,-1,-1,0
14,0.08707482993197278,4096,0,0,0.027261406183242798,0,-1,0,59,-1,-1,-1,0
15,0.09287981859410431,4096,0,0,0.027169251814484596,0,-1,0,59,-1,-1,-1,0
16,0.09868480725623582,4096,0,0,0.02707689441740513,0,-1,0,59,-1,-1,-1,0
17,0.10448979591836735,4096,0,0,0.0275571309030056,0,-1,0,59,-1,-1,-1,0
18,0.11029478458049886,4096,0,0,0.027571478858590126,0,-1,0,59,-1,-1,-1,0
19,0.11609977324263039,4096,0,0,0.02699797786772251,0,-1,0,59,-1,-1,-1,0
20,0.1219047619047619,4096,0,0,0.02678079903125763,0,-1,0,59,-1,-1,-1,0
21,0.12770975056689343,4096,0,0,0.027436042204499245,0,-1,0,59,-1,-1,-1,0
22,0.13351473922902493,4096,0,0,0.02790261059999466,0,-1,0,59,-1,-1,-1,0
23,0.13931972789115646,4096,0,0,0.02787364274263382,0,-1,0,59,-1,-1,-1,0
24,0.14512471655328799,4096,0,0,0.02719035930931568,0,-1,0,59,-1,-1,-1,0
25,0.1509297052154195,4096,0,0,0.027115166187286377,0,-1,0,59,-1,-1,-1,0
26,0.156734693877551,4096,0,0,0.026931652799248695,0,-1,0,59,-1,-1,-1,0
27,0.16253968253968254,4096,0,0,0.02680225856602192,0,-1,0,59,-1,-1,-1,0
28,0.16834467120181407,4096,0,0,0.026685889810323715,0,-1,0,59,-1,-1,-1,0
29,0.17414965986394557,4096,0,0,0.026657601818442345,0,-1,0,59,-1,-1,-1,0
30,0.1799546485260771,4096,0,0,0.02690245397388935,0,-1,0,59,-1,-1,-1,0
31,0.18575963718820862,4096,0,0,0.02681751362979412,0,-1,0,59,-1,-1,-1,0
32,0.19156462585034015,4096,0,0,0.02693847380578518,0,-1,0,59,-1,-1,-1,0
33,0.19736961451247165,4096,0,0,0.027386978268623352,0,-1,0,59,-1,-1,-1,0
34,0.20317460317460317,4096,0,0,0.027669783681631088,0,-1,0,59,-1,-1,-1,0
35,0.2089795918367347,4096,0,0,0.02741536870598793,0,-1,0,59,-1,-1,-1,0
36,0.2147845804988662,4096,0,0,0.02758403681218624,0,-1,0,59,-1,-1,-1,0
37,0.22058956916099773,4096,0,0,0.027873726561665535,0,-1,0,59,-1,-1,-1,0
38,0.22639455782312926,4096,0,0,0.027417298406362534,0,-1,0,59,-1,-1,-1,0
39,0.23219954648526078,4096,0,0,0.02717781625688076,0,-1,0,59,-1,-1,-1,0
40,0.23800453514739228,4096,0,0,0.027469275519251823,0,-1,0,59,-1,-1,-1,0
41,0.2438095238095238,4096,0,0,0.027368929237127304,0,-1,0,59,-1,-1,-1,0
42,0.24961451247165534,4096,0,0,0.02742590941488743,0,-1,0,59,-1,-1,-1,0
43,0.25541950113378686,4096,0,0,0.02794262208044529,0,-1,0,59,-1,-1,-1,0
44,0.2612244897959184,4096,0,0,0.027541527524590492,0,-1,0,59,-1,-1,-1,0
45,0.26702947845804986,4096,0,0,0.027227278798818588,0,-1,0,59,-1,-1,-1,0
46,0.2728344671201814,4096,0,0,0.027079898864030838,0,-1,0,59,-1,-1,-1,0
47,0.2786394557823129,4096,0,0,0.027013329789042473,0,-1,0,59,-1,-1,-1,0
48,0.28444444444444444,4096,0,0,0.027155844494700432,0,-1,0,59,-1,-1,-1,0
49,0.29024943310657597,4096,0,0,0.027571972459554672,0,-1,0,59,-1,-1,-1,0
50,0.2960544217687075,4096,0,0,0.026867356151342392,0,-1,0,59,-1,-1,-1,0
51,0.301859410430839,4096,0,0,0.026800487190485,0,-1,0,59,-1,-1,-1,0
52,0.3076643990929705,4096,0,0,0.027040446177124977,0,-1,0,59,-1,-1,-1,0
53,0.313469387755102,4096,0,0,0.027268677949905396,0,-1,0,59,-1,-1,-1,0
54,0.31927437641723355,4096,0,0,0.027607016265392303,0,-1,0,59,-1,-1,-1,0
55,0.3250793650793651,4096,0,0,0.02726367674767971,0,-1,0,59,-1,-1,-1,0
56,0.3308843537414966,4096,0,0,0.027082735672593117,0,-1,0,59,-1,-1,-1,0
57,0.33668934240362813,4096,0,0,0.02758074924349785,0,-1,0,59,-1,-1,-1,0
58,0.34249433106575966,4096,0,0,0.028006302192807198,0,-1,0,59,-1,-1,-1,0
59,0.34829931972789113,4096,0,0,0.0277663953602314,0,-1,0,59,-1,-1,-1,0
60,0.35410430839002266,4096,0,0,0.027326298877596855,0,-1,0,59,-1,-1,-1,0
61,0.3599092970521542,4096,0,0,0.027345627546310425,0,-1,0,59,-1,-1,-1,0
62,0.3657142857142857,4096,0,0,0.027358490973711014,0,-1,0,59,-1,-1,-1,0
63,0.37151927437641724,4096,0,0,0.027421623468399048,0,-1,0,59,-1,-1,-1,0
64,0.37732426303854877,4096,0,0,0.027146410197019577,0,-1,0,59,-1,-1,-1,0
65,0.3831292517006803,4096,0,0,0.02713489718735218,0,-1,0,59,-1,-1,-1,0
66,0.38893424036281177,4096,0,0,0.0272434763610363,0,-1,0,59,-1,-1,-1,0
67,0.3947392290249433,4096,0,0,0.02699468843638897,0,-1,0,59,-1,-1,-1,0
68,0.4005442176870748,4096,0,0,0.02751660905778408,0,-1,0,59,-1,-1,-1,0
69,0.40634920634920635,4096,0,0,0.027521731331944466,0,-1,0,59,-1,-1,-1,0
70,0.4121541950113379,4096,0,0,0.02695268765091896,0,-1,0,59,-1,-1,-1,0
71,0.4179591836734694,4096,0,0,0.0272209532558918,0,-1,0,59,-1,-1,-1,0
72,0.42376417233560093,4096,0,0,0.027726583182811737,0,-1,0,59,-1,-1,-1,0
73,0.4295691609977324,4096,0,0,0.027757981792092323,0,-1,0,59,-1,-1,-1,0
74,0.43537414965986393,4096,0,0,0.027630316093564034,0,-1,0,59,-1,-1,-1,0
75,0.44117913832199546,4096,0,0,0.028051676228642464,0,-1,0,59,-1,-1,-1,0
76,0.446984126984127,4096,0,0,0.027903852984309196,0,-1,0,59,-1,-1,-1,0
77,0.4527891156462585,4096,0,0,0.027536541223526,0,-1,0,59,-1,-1,-1,0
78,0.45859410430839004,4096,0,0,0.027409382164478302,0,-1,0,59,-1,-1,-1,0
79,0.46439909297052157,4096,0,0,0.027539849281311035,0,-1,0,59,-1,-1,-1,0
80,0.47020408163265304,4096,0,0,0.02746419608592987,0,-1,0,59,-1,-1,-1,0
81,0.47600907029478456,4096,0,0,0.027348410338163376,0,-1,0,59,-1,-1,-1,0
82,0.4818140589569161,4096,0,0,0.027458636090159416,0,-1,0,59,-1,-1,-1,0
