event_id,start_s,end_s,duration_ms,pitch_midi,annotation_support_ratio,spectral_support_ratio,classification
0,0.011609977324263039,0.14512471655328799,133.51473922902497,63,1.0,1.0,supported
1,0.5630839002267574,0.592108843537415,29.024943310657637,60,0.0,1.0,unsupported
2,0.8068934240362812,0.8185034013605442,11.609977324263054,63,1.0,1.0,supported
3,1.5963718820861679,1.7298866213151927,133.5147392290248,60,1.0,1.0,supported
4,1.8982312925170068,2.17687074829932,278.63945578231306,65,1.0,1.0,supported
5,2.17687074829932,2.258140589569161,81.26984126984115,65,1.0,1.0,supported
6,2.3045804988662133,2.449705215419501,145.12471655328784,62,1.0,1.0,supported
7,2.571609977324263,3.2624036281179136,690.7936507936507,65,1.0,1.0,supported
8,3.3146485260770975,3.4017233560090703,87.0748299319728,62,1.0,1.0,supported
9,3.755827664399093,3.8370975056689343,81.26984126984115,67,1.0,1.0,supported
10,3.8370975056689343,4.115736961451248,278.6394557823133,67,1.0,1.0,supported
11,4.173786848072562,4.342131519274377,168.3446712018144,65,0.0,1.0,unsupported
12,4.440816326530612,5.0213151927437645,580.4988662131523,67,1.0,1.0,supported
13,5.241904761904762,5.3231746031746034,81.26984126984115,65,1.0,1.0,supported
14,5.358004535147392,5.5495691609977325,191.56462585034006,67,1.0,0.9218962640729684,supported
15,5.601814058956916,5.688888888888889,87.07482993197324,68,1.0,1.0,supported
16,5.688888888888889,5.7817687074829935,92.87981859410444,68,1.0,1.0,supported
17,5.7817687074829935,5.874648526077097,92.87981859410354,68,0.3125,1.0,weak
18,5.874648526077097,6.002358276643991,127.70975056689426,67,1.0,1.0,supported
19,6.130068027210885,7.047256235827664,917.1882086167793,68,1.0,1.0,supported
20,8.132789115646258,8.36498866213152,232.19954648526198,70,0.975,1.0,supported
21,8.417233560090702,8.457868480725624,40.63492063492191,72,1.0,1.0,supported
22,8.469478458049887,8.626213151927438,156.73469387755114,72,1.0,1.0,supported
23,8.713287981859411,8.922267573696145,208.97959183673365,75,0.9722222222222222,1.0,supported
24,9.02095238095238,9.061587301587302,40.63492063492191,74,1.0,1.0,supported
25,9.084807256235827,9.618866213151927,534.0589569161001,74,1.0,1.0,supported
26,9.7059410430839,9.74657596371882,40.634920634920135,72,1.0,1.0,supported
27,9.758185941043084,9.93233560090703,174.1496598639447,72,1.0,1.0,supported
28,9.978775510204082,10.367709750566894,388.93424036281135,70,0.9850746268656716,0.9739029358956144,supported
29,10.402539682539683,10.448979591836734,46.43990929705133,68,1.0,0.7990457091289388,supported
30,10.47219954648526,10.675374149659865,203.17460317460421,68,1.0,1.0,supported
31,10.721814058956916,10.768253968253969,46.439909297053106,67,1.0,0.7409215241302984,supported
32,10.797278911564625,11.290702947845805,493.42403628117995,67,1.0,1.0,supported
33,11.418412698412698,11.470657596371883,52.2448979591843,67,1.0,1.0,supported
34,11.505487528344672,11.557732426303854,52.24489795918252,67,1.0,1.0,supported
35,11.795736961451247,11.836371882086167,40.634920634920135,67,1.0,1.0,supported
36,11.853786848072563,11.96408163265306,110.29478458049802,67,1.0,1.0,supported
37,12.004716553287983,12.120816326530612,116.09977324262921,65,0.95,1.0,supported
38,12.120816326530612,12.161451247165532,40.634920634920135,67,1.0,0.16552358540150724,supported
39,12.184671201814059,12.335600907029479,150.92970521541992,67,0.8846153846153846,1.0,supported
40,12.405260770975056,12.591020408163265,185.75963718820887,70,1.0,1.0,supported
41,12.591020408163265,12.60843537414966,17.41496598639536,69,0.0,0.7263228799923981,unsupported
42,13.693968253968254,13.711383219954648,17.414965986393582,49,0.0,0.5030045110725541,unsupported
43,13.711383219954648,13.740408163265306,29.024943310657747,63,1.0,1.0,supported
44,13.763628117913832,13.995827664399092,232.1995464852602,63,0.8,1.0,supported
45,13.995827664399092,14.204807256235828,208.97959183673544,64,1.0,1.0,supported
46,14.239637188208617,14.36734693877551,127.70975056689338,61,1.0,1.0,supported
47,14.390566893424037,14.413786848072561,23.219954648524777,55,0.0,0.01739526684044254,unsupported
48,14.413786848072561,14.431201814058957,17.41496598639536,60,1.0,1.0,supported
49,14.460226757369615,14.570521541950113,110.29478458049802,60,1.0,1.0,supported
50,14.611156462585035,14.628571428571428,17.414965986393582,59,0.0,1.0,unsupported
51,14.628571428571428,14.640181405895692,11.609977324264165,58,1.0,1.0,supported
52,14.692426303854875,14.831746031746032,139.31972789115753,58,1.0,1.0,supported
53,14.854965986394557,14.872380952380952,17.41496598639536,59,0.0,1.0,unsupported
54,14.872380952380952,14.895600907029479,23.219954648526553,55,0.0,0.13638093128245823,unsupported
55,14.895600907029479,14.907210884353741,11.609977324262388,56,0.0,1.0,unsupported
56,14.959455782312926,14.98267573696145,23.219954648524777,56,0.0,1.0,unsupported
57,15.330975056689342,15.348390022675737,17.41496598639536,58,1.0,1.0,supported
58,15.383219954648526,15.563174603174604,179.95464852607768,58,1.0,1.0,supported
59,15.598004535147393,15.609614512471655,11.609977324262388,54,0.0,0.5074840878548982,unsupported
60,15.609614512471655,15.638639455782313,29.024943310657747,55,1.0,1.0,supported
61,15.998548752834466,16.015963718820863,17.414965986397135,55,0.0,1.0,unsupported
62,16.068208616780044,16.108843537414966,40.63492063492191,53,0.8571428571428571,0.657879688929992,supported
63,16.12625850340136,16.43392290249433,307.66439909297105,53,1.0,1.0,supported
64,17.03183673469388,17.165351473922904,133.51473922902457,53,1.0,1.0,supported
65,17.211791383219953,17.22340136054422,11.609977324265941,55,0.0,1.0,unsupported
66,17.2756462585034,17.356916099773244,81.26984126984382,56,1.0,1.0,supported
67,17.426575963718822,17.438185941043084,11.609977324262388,59,0.5,0.8862768185860668,supported
68,17.49043083900227,17.623945578231293,133.51473922902457,59,1.0,1.0,supported
69,17.66458049886621,17.705215419501133,40.63492063492191,61,0.0,0.3713928565542145,unsupported
70,17.722630385487527,17.734240362811793,11.609977324265941,61,0.0,1.0,unsupported
71,17.734240362811793,17.815510204081633,81.26984126984027,62,1.0,1.0,supported
72,17.943219954648526,18.059319727891157,116.09977324263099,65,1.0,1.0,supported
73,18.18702947845805,18.355374149659863,168.34467120181174,68,0.7586206896551724,1.0,supported
74,18.355374149659863,18.401814058956916,46.439909297053106,67,0.0,1.0,unsupported
75,18.401814058956916,18.546938775510203,145.12471655328696,66,1.0,1.0,supported
76,18.599183673469387,18.61079365079365,11.609977324262388,66,0.0,0.505331483537885,unsupported
77,18.61079365079365,18.63981859410431,29.024943310659523,67,1.0,1.0,supported
78,18.68045351473923,18.935873015873018,255.41950113378675,67,1.0,1.0,supported
79,19.040362811791383,19.075192743764173,34.82993197279072,70,1.0,1.0,supported
80,19.092607709750567,19.168072562358276,75.46485260770908,70,1.0,1.0,supported
81,19.33061224489796,19.37124716553288,40.63492063491836,74,1.0,1.0,supported
82,19.382857142857144,20.770249433106574,1387.39229024943,74,1.0,1.0,supported
